"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Australia;South Australia;Darkes Peak;;136.2;-33.4666667;6;
2;Australia;South Australia;Darlington;;138.5666667;-35.0333333;6;
2;Australia;South Australia;Dashwoods Gully;;138.7;-35.1666667;6;
2;Australia;South Australia;Daveyston;;138.8833333;-34.4666667;6;
2;Australia;South Australia;Dawesley;;139.95;-35.0333333;6;
2;Australia;South Australia;Dawson;;138.9666667;-32.8;6;
2;Australia;South Australia;Delamere;;138.1833333;-35.5833333;6;
2;Australia;South Australia;Denial Bay;;133.5666667;-32.1;6;
2;Australia;South Australia;Dingabledinga;;138.6333333;-35.2666667;6;
2;Australia;South Australia;Dorrien;;138.9833333;-34.5;6;
2;Australia;South Australia;Dorset Vale;;138.6833333;-35.1;6;
2;Australia;South Australia;Dowlingville;;137.9166667;-34.3333333;6;
2;Australia;South Australia;Dublin;;138.35;-34.45;6;
2;Australia;South Australia;Duck Ponds;;135.7833333;-34.7333333;6;
2;Australia;South Australia;Dunira;;140;-34.45;6;
2;Australia;South Australia;Dutton;;139.1333333;-34.3666667;6;
2;Australia;South Australia;Echunga;;138.8;-35.1;6;
2;Australia;South Australia;Eden Valley;;139.1;-34.65;6;
2;Australia;South Australia;Edillilie;;135.7166667;-34.4;6;
2;Australia;South Australia;Edithburg;;137.7333333;-35.1;6;
2;Australia;South Australia;Edithburgh;;137.7333333;-35.1;6;
2;Australia;South Australia;Eiliston;;134.8833333;-33.65;6;
2;Australia;South Australia;Elbow Hill;;136.7666667;-33.7333333;6;
2;Australia;South Australia;Elizabeth;;138.65;-34.7333333;6;
2;Australia;South Australia;Elliston;;134.8833333;-33.65;6;
2;Australia;South Australia;Emerald Rise;;134.9666667;-32.6;6;
2;Australia;South Australia;Emu Bay;;137.5;-35.6;6;
2;Australia;South Australia;Emu Downs;;138.9666667;-33.9;6;
2;Australia;South Australia;Encounter Bay;;138.6;-35.5833333;6;
2;Australia;South Australia;Erskine;;138.85;-32.7333333;6;
2;Australia;South Australia;Ettrick Brae;;139.5666667;-35;6;
2;Australia;South Australia;Eudunda;;139.0666667;-34.1833333;6;
2;Australia;South Australia;Eurelia;;138.5666667;-32.55;6;
2;Australia;South Australia;Farina Town;;138.2833333;-30.0666667;6;
2;Australia;South Australia;Farina;;138.2833333;-30.0666667;6;
2;Australia;South Australia;Findon;;138.5333333;-34.9;6;
2;Australia;South Australia;Finniss;;138.8166667;-35.4;6;
2;Australia;South Australia;Finsbury;;138.5333333;-34.8666667;6;
2;Australia;South Australia;Flagstaff Landing;;134.1333333;-32.4;6;
2;Australia;South Australia;Flaxley;;138.8166667;-35.1333333;6;
2;Australia;South Australia;Flinders;;134.2166667;-32.8;6;
2;Australia;South Australia;Florieton;;139.4166667;-33.8666667;6;
2;Australia;South Australia;Florrieton;;139.4166667;-33.8666667;6;
2;Australia;South Australia;Fords;;138.8666667;-34.3833333;6;
2;Australia;South Australia;Forest Range;;138.8166667;-34.9333333;6;
2;Australia;South Australia;Forster;;139.55;-34.75;6;
2;Australia;South Australia;Fowlers Bay;;132.45;-31.9833333;6;
2;Australia;South Australia;Frances;;140.9666667;-36.7166667;6;
2;Australia;South Australia;Frankton;;139.2166667;-34.2833333;6;
2;Australia;South Australia;Freeling;;138.8;-34.45;6;
2;Australia;South Australia;Furner;;140.3333333;-37.4166667;6;
2;Australia;South Australia;Galga;;139.95;-34.7;6;
2;Australia;South Australia;Gambier Town;;140.7666667;-37.8333333;6;
2;Australia;South Australia;Garrik Bore;;139.9833333;-34.9666667;6;
2;Australia;South Australia;Gawler River;;138.6333333;-34.6166667;6;
2;Australia;South Australia;Gawler;;138.7333333;-34.6;6;
2;Australia;South Australia;Georgetown;;138.4;-33.3666667;6;
2;Australia;South Australia;Gepps Cross;;138.6;-34.85;6;
2;Australia;South Australia;Geranium Plain;;139.1666667;-33.9666667;6;
2;Australia;South Australia;Geranium Plains;;139.1666667;-33.9666667;6;
2;Australia;South Australia;Geranium;;140.1666667;-35.3833333;6;
2;Australia;South Australia;Giles Corner;;138.7166667;-34.2333333;6;
2;Australia;South Australia;Gilles Plains;;138.65;-34.85;6;
2;Australia;South Australia;Gladstone;;138.3666667;-33.2833333;6;
